filename,date,time,size_in_bytes
Screenshot 2024-09-12 143341.png,2024-09-12,14:33:41,3828157
Screenshot 2024-09-12 143547.png,2024-09-12,14:35:47,481413
Screenshot 2024-09-12 143623.png,2024-09-12,14:36:23,473697
Screenshot 2024-09-12 143703.png,2024-09-12,14:37:03,3840454
Screenshot 2024-09-12 143819.png,2024-09-12,14:38:19,3856823
Screenshot 2024-09-12 143836.png,2024-09-12,14:38:36,3821595
Screenshot 2024-09-12 143907.png,2024-09-12,14:39:07,3776495
Screenshot 2024-09-12 143916.png,2024-09-12,14:39:16,3768812
Screenshot 2024-09-12 144042.png,2024-09-12,14:40:42,3964668
Screenshot 2024-09-12 144105.png,2024-09-12,14:41:05,3917479
Screenshot 2024-09-12 144914.png,2024-09-12,14:49:14,3811678
Screenshot 2024-09-12 145417.png,2024-09-12,14:54:17,3793664
Screenshot 2024-09-12 145430.png,2024-09-12,14:54:30,3807258
Screenshot 2024-09-12 145742.png,2024-09-12,14:57:42,3832722
Screenshot 2024-09-12 145828.png,2024-09-12,14:58:28,3739235
Screenshot 2024-09-12 145837.png,2024-09-12,14:58:37,3813850
Screenshot 2024-09-12 150832.png,2024-09-12,15:08:32,3707177
Screenshot 2024-09-12 150840.png,2024-09-12,15:08:40,3731705
Screenshot 2024-09-12 151517.png,2024-09-12,15:15:17,3843490
Screenshot 2024-09-12 152022.png,2024-09-12,15:20:22,3940091
Screenshot 2024-09-12 152605.png,2024-09-12,15:26:05,3875222
Screenshot 2024-09-12 152711.png,2024-09-12,15:27:11,3796778
Screenshot 2024-09-12 152735.png,2024-09-12,15:27:35,3795346
Screenshot 2024-09-12 153515.png,2024-09-12,15:35:15,3856933
Screenshot 2024-09-12 153532.png,2024-09-12,15:35:32,3834015
Screenshot 2024-09-12 153810.png,2024-09-12,15:38:10,3776162
Screenshot 2024-09-12 153818.png,2024-09-12,15:38:18,3731432
Screenshot 2024-09-12 154400.png,2024-09-12,15:44:00,3912660
Screenshot 2024-09-12 154444.png,2024-09-12,15:44:44,3792694
Screenshot 2024-09-12 154750.png,2024-09-12,15:47:50,3868386
Screenshot 2024-09-12 155129.png,2024-09-12,15:51:29,3926448
Screenshot 2024-09-12 155140.png,2024-09-12,15:51:40,3903431
Screenshot 2024-09-12 155151.png,2024-09-12,15:51:51,3885402
Screenshot 2024-09-12 155621.png,2024-09-12,15:56:21,3733784
Screenshot 2024-09-12 155643.png,2024-09-12,15:56:43,3890715
Screenshot 2024-09-12 155835.png,2024-09-12,15:58:35,3818889
Screenshot 2024-09-12 155841.png,2024-09-12,15:58:41,3630552
Screenshot 2024-09-12 160400.png,2024-09-12,16:04:00,3684290
Screenshot 2024-09-12 160406.png,2024-09-12,16:04:06,3686814
Screenshot 2024-09-12 160632.png,2024-09-12,16:06:32,3742519
Screenshot 2024-09-12 160643.png,2024-09-12,16:06:43,3760584
Screenshot 2024-09-12 160706.png,2024-09-12,16:07:06,3647973
Screenshot 2024-09-12 161141.png,2024-09-12,16:11:41,3758827
Screenshot 2024-09-12 161150.png,2024-09-12,16:11:50,3841317
Screenshot 2024-09-12 161158.png,2024-09-12,16:11:58,3723475
Screenshot 2024-09-12 161208.png,2024-09-12,16:12:08,3737733
Screenshot 2024-09-12 161214.png,2024-09-12,16:12:14,3754003
Screenshot 2024-09-12 161451.png,2024-09-12,16:14:51,3832081
Screenshot 2024-09-12 161501.png,2024-09-12,16:15:01,3780087
Screenshot 2024-09-12 161556.png,2024-09-12,16:15:56,3736791
Screenshot 2024-09-12 161604.png,2024-09-12,16:16:04,3730067
Screenshot 2024-09-12 161640.png,2024-09-12,16:16:40,3700697
Screenshot 2024-09-12 161645.png,2024-09-12,16:16:45,3691143
Screenshot 2024-09-12 161749.png,2024-09-12,16:17:49,3845604
Screenshot 2024-09-12 161809.png,2024-09-12,16:18:09,3703472
Screenshot 2024-09-12 161814.png,2024-09-12,16:18:14,3707307
Screenshot 2024-09-12 161830.png,2024-09-12,16:18:30,3755329
Screenshot 2024-09-12 161834.png,2024-09-12,16:18:34,3770291
Screenshot 2024-09-12 162022.png,2024-09-12,16:20:22,3874501
Screenshot 2024-09-12 162027.png,2024-09-12,16:20:27,3872303
Screenshot 2024-09-12 162045.png,2024-09-12,16:20:45,3831453
Screenshot 2024-09-12 162050.png,2024-09-12,16:20:50,3792151
Screenshot 2024-09-12 162125.png,2024-09-12,16:21:25,3778250
Screenshot 2024-09-12 162244.png,2024-09-12,16:22:44,3829209
Screenshot 2024-09-12 162408.png,2024-09-12,16:24:08,3785159
Screenshot 2024-09-12 162434.png,2024-09-12,16:24:34,3846045
Screenshot 2024-09-12 162636.png,2024-09-12,16:26:36,3812930
Screenshot 2024-09-12 162643.png,2024-09-12,16:26:43,3790186
Screenshot 2024-09-12 162805.png,2024-09-12,16:28:05,3946874
Screenshot 2024-09-12 162931.png,2024-09-12,16:29:31,3750821
Screenshot 2024-09-12 162939.png,2024-09-12,16:29:39,3934279
