filename,date,time,size_in_bytes
Screenshot 2024-09-11 155756.png,2024-09-11,15:57:56,3855382
Screenshot 2024-09-11 155847.png,2024-09-11,15:58:47,3764554
Screenshot 2024-09-11 155859.png,2024-09-11,15:58:59,3822284
Screenshot 2024-09-11 155908.png,2024-09-11,15:59:08,3819464
Screenshot 2024-09-11 155914.png,2024-09-11,15:59:14,3787887
Screenshot 2024-09-11 161434.png,2024-09-11,16:14:34,3689813
Screenshot 2024-09-11 161909.png,2024-09-11,16:19:09,3829362
Screenshot 2024-09-11 161937.png,2024-09-11,16:19:37,3938080
Screenshot 2024-09-11 161952.png,2024-09-11,16:19:52,3790249
Screenshot 2024-09-11 162252.png,2024-09-11,16:22:52,3600435
Screenshot 2024-09-11 162300.png,2024-09-11,16:23:00,3552464
Screenshot 2024-09-11 162657.png,2024-09-11,16:26:57,3978354
Screenshot 2024-09-11 162707.png,2024-09-11,16:27:07,3980533
Screenshot 2024-09-11 162811.png,2024-09-11,16:28:11,3961252
Screenshot 2024-09-11 162850.png,2024-09-11,16:28:50,3950606
Screenshot 2024-09-11 162859.png,2024-09-11,16:28:59,3950708
Screenshot 2024-09-11 164947.png,2024-09-11,16:49:47,503800
Screenshot 2024-09-11 164952.png,2024-09-11,16:49:52,488024
Screenshot 2024-09-11 165007.png,2024-09-11,16:50:07,489355
